train_gen_loss,train_disc_loss,test_gen_loss,test_disc_loss
0.38426888,0.8519359,0.17234284886446866,1.7207855584859848
0.28364372,0.6369881,0.1852558217102831,1.813283494734764
0.26753473,0.5944452,0.2582589308240197,1.8124069561004639
0.25183654,0.5738196,0.15292422476681797,1.8546614018321037
0.25737077,0.55704844,0.14677122152935376,1.6174726606965064
0.24412484,0.5477053,0.19528427419879218,1.76706121673584
0.24215418,0.5364437,0.1778292766375975,1.6842078428030014
0.2387593,0.5278635,0.15339534359628504,1.6705428232431412
0.23640212,0.52493024,0.17515757417678832,1.6028535497307776
0.23362793,0.514859,0.2565658002116463,1.6583409000635148
0.23467089,0.51261,0.1318471768877723,1.5788798996806144
0.22907129,0.5067636,0.1405078420313922,1.5283966895341874
0.22728117,0.5047471,0.17431867679682644,1.5483559028863907
0.22591661,0.50047684,0.21488937361673877,1.6446200537323952
0.23055702,0.49552798,0.1580565752657977,1.550437260055542
0.22332646,0.49157095,0.14002896694161676,1.557995306634903
0.22139792,0.4904742,0.17590019234743987,1.4620591927528381
0.22328591,0.4872706,0.17172008502483369,1.5592507984995843
0.22539786,0.48045567,0.15758253106203945,1.5666339005708694
0.22147317,0.47975332,0.15590523275462065,1.5157776705861092
0.21965209,0.47600088,0.16426550007950175,1.4540841893076897
0.22574718,0.4742137,0.14592973492904143,1.4942295897364617
0.22558524,0.47004956,0.15508924238248306,1.5188111019968986
0.21913797,0.46984378,0.19890674870664424,1.547395833814144
0.2217297,0.46735838,0.15956890398805793,1.4408003974556922
0.21999648,0.46689138,0.1769951460686597,1.4933585502982138
0.22521077,0.46337318,0.1397431055090644,1.4635119303107262
0.21628211,0.46113956,0.1745865186994726,1.4894728898406029
0.21833153,0.46165574,0.22284320265596563,1.4555019673109055
0.21782729,0.4599152,0.1590842004147443,1.4734726040124893
0.21885611,0.45618737,0.16549927237900822,1.4381242937088012
0.21958975,0.4564263,0.1537822117588737,1.413018811416626
0.21943332,0.4553555,0.17106214024261995,1.4285184400081634
0.21947788,0.45313996,0.1566344726194035,1.4288212995648384
0.21550664,0.4531288,0.1536480509367856,1.439016260266304
0.21850723,0.44987255,0.172662488498471,1.4635891669631005
0.21805412,0.44861975,0.15666881962256,1.4228202984333038
0.20762172,0.4512809,0.1956100924882022,1.410490737617016
0.22212476,0.44627354,0.1558375282721086,1.4984616322755813
0.2185661,0.4455751,0.16140933192318135,1.363567559838295
